time;Pixel rightCheek
33.542;194.28877382913626,170.64485761355613,170.3010120028242
33.677;195.0494860148219,170.8943342098972,171.17092995457804
33.778;194.95521327014217,171.0781990521327,170.97582938388626
33.879;194.671161580317,170.71800331204165,170.51123728412585
33.991;194.1216216216216,170.41915599810338,170.06993835941205
34.125;196.4177033492823,171.83540669856458,172.0346889952153
34.226;195.55262521171062,171.20493588192596,170.94870554076942
34.327;195.95031355523395,171.3649300530632,171.43125904486251
34.398;195.16872129562486,171.57698815566835,171.37563451776649
34.5;195.45141215892772,171.50670177118238,171.34992819530876
34.603;194.8338192419825,170.9591836734694,170.73688046647231
34.704;194.97299252471666,170.75982638051605,170.85218230045817
34.846;195.2128688921142,171.05176584421866,170.83284954039672
34.947;195.60898058252428,171.03373786407766,171.11674757281554
35.048;195.9130538351596,171.54621248213434,171.74606955693187
35.149;193.88231115320863,170.01989107269713,169.71300023679848
35.251;194.39051269765213,170.5364159080019,170.49425011978917
35.321;194.7952007602756,170.6552625326681,170.59562841530055
35.427;194.64949688548154,170.78749401054145,170.67872544321995
35.53;194.65553687244775,171.04780206581793,170.67163103531107
35.63;194.43588528087224,170.27850201469542,169.9819862526665
35.697;194.83676893576222,170.56064237775647,170.3341323106424
35.798;194.5196548418025,170.35714285714286,170.17976989453499
35.9;194.74103963921198,170.5288393069072,170.52385473534298
36.068;195.5335242185636,171.6408971605822,171.5585779050346
36.168;194.71934798015593,170.72667139144815,170.66713914481454
36.235;195.28256704980842,170.99976053639847,171.06010536398466
36.338;195.69578745811393,171.48180947821925,171.51555768310197
36.473;194.6321674994052,170.92481560789912,170.8974541993814
36.608;194.66619552414605,170.41719670200234,170.50035335689046
36.678;195.75155725922377,171.36703402012458,171.61595591758504
36.779;195.74723424723425,171.18085618085618,171.87085137085137
36.885;195.40513552068472,171.06657156443177,171.12815026153115
37.026;194.9954804947669,170.76094196003805,170.91246431969552
37.16;195.3860744297719,171.14981992797118,171.30684273709483
37.262;194.78196564885496,170.85901717557252,170.5739503816794
37.362;194.2877560743211,170.65412101000476,170.5438303954264
37.43;194.42611190817792,170.2589670014347,170.1453849832616
37.564;195.58085106382978,171.34775413711583,171.39479905437352
37.631;193.5119382022472,169.49812734082397,169.75749063670412
37.733;193.44190968955786,169.5764346190028,169.52304797742238
37.834;195.41959681200188,171.07852789498358,171.21143928738866
37.936;193.84015913877838,169.823543178095,169.90685700912707
38.073;194.52596944770858,170.4427732079906,170.42068155111633
38.176;194.35051546391753,170.4095595126523,170.41611996251171
38.28;193.58165180666353,169.877053026748,169.33481933364618
38.353;193.29017857142858,169.79581766917292,169.78547932330827
38.487;194.42606457650913,170.34253626579317,170.3759943846514
38.588;194.95867574548015,170.64029114815685,170.69100727870392
38.699;193.56387975575387,169.7186472522311,169.53381869422265
38.774;194.05838218053927,169.84126611957797,169.83985932004688
38.912;193.62877192982455,169.57730994152047,169.65777777777777
39.046;195.06049059299832,171.26601571802811,170.86425339366517
39.181;195.44568576182553,171.14452103636796,171.20061801758973
39.281;193.24371327849587,169.4331374853114,169.47074030552292
39.382;194.47282738807758,170.17692123533638,170.19296145559014
39.516;194.97606510292005,170.3757778841551,170.32192436572524
39.619;194.2030989272944,170.09916567342074,170.16901072705602
39.72;194.41752819548873,170.0378289473684,170.47932330827066
39.821;194.05850563909775,169.999765037594,169.82636278195488
39.922;194.7074340527578,170.36402877697842,170.5906474820144
39.989;194.55124521072796,170.20641762452107,170.22533524904213
40.092;194.97104201281746,170.78637550439117,170.76976026584381
40.227;194.2460071513707,170.123241954708,170.3227651966627
40.328;195.11316287878788,170.99313446969697,170.78361742424244
40.429;195.57752592235352,171.11622859898722,171.01784422474077
40.499;194.46639848556555,170.15664931377188,169.95314718409844
40.602;195.07963972505334,170.82531405546337,170.62171130599668
40.711;194.95054945054946,170.82608695652175,170.6918299092212
40.814;194.83761293390396,170.73204945316215,170.85164051355207
40.948;194.5769139606542,170.5690922019436,170.36217113059968
41.054;194.53176861071597,170.49644381223328,170.44452347083927
41.177;194.43859649122808,170.4312470365102,170.30061640587957
41.311;194.9454195720125,170.92257754267854,171.1425823515268
41.378;194.94278252611585,170.87891737891738,170.59876543209876
41.454;195.4938065745593,171.3103858980467,171.23058599333015
41.557;194.8206599713056,171.02606408417026,170.74414155906265
41.665;193.83590230021343,170.2599004031302,169.5814560113825
41.769;194.83709213051824,170.98200575815738,171.0549424184261
41.936;195.42012971414846,171.22267595484027,170.6865241412443
42.07;194.32582688247712,170.2495894909688,170.07224958949098
42.176;195.515338882283,170.96575505350773,170.9755053507729
42.278;194.9541218637993,170.7431302270012,170.74193548387098
42.379;194.75,170.92123935666982,171.11636707663197
42.48;194.84108804581246,170.75733715103794,171.00858983536148
42.583;194.96751684311837,170.9494706448508,170.96655437921078
42.714;194.9761567516525,171.41737488196412,171.31232294617564
42.815;194.83507604562737,171.01116920152091,170.91183460076044
42.922;194.62934730824202,170.95521676989043,170.43187232015245
43.024;195.1259842519685,171.38010021474588,171.18563588642328
43.125;195.18838154434616,171.0327516136744,171.11188142481473
43.291;194.35538169748696,170.48127074442863,170.43148411569464
43.392;194.42242194891202,170.63174077578051,170.53547776726586
43.494;195.02581261950286,171.14603250478012,171.0133843212237
43.628;194.22649976381672,170.35758148323097,170.38238072744448
43.728;194.68323727185398,170.87151777137368,170.50816522574448
43.815;193.98958333333334,170.65885416666666,170.42708333333334
43.95;194.77926741680633,170.90734977256403,170.92482643045247
44.05;194.53822115384617,170.63221153846155,170.3923076923077
44.154;194.7949148476853,170.99712161189734,171.1338450467738
44.254;195.63941050629901,171.6063703351557,171.76539101497505
44.321;194.6009043312708,170.74012375059496,170.426939552594
44.421;195.42460507419818,171.44471038774535,171.58736237434178
44.49;195.4633796074677,171.36596457635233,171.5864049784586
44.591;194.71367009815657,170.6021067751975,170.49820445295666
44.691;194.8616367076632,170.54257332071901,170.5023651844844
44.764;196.19060114503816,171.8611641221374,171.81655534351145
44.868;194.66517225106182,171.022180273714,170.87564889098633
44.968;194.90470532319392,170.88212927756655,170.79016159695817
45.039;194.69153992395437,170.92419201520912,170.76544676806083
45.14;194.71173954372622,170.87975285171103,170.79966730038024
45.282;194.57368799424873,170.54612988257847,170.6527677929547
45.383;194.89234790874525,170.66777566539923,170.71577946768062
45.449;194.64712890159637,170.53490588515606,170.62139623540625
45.52;194.8726582878824,170.75859615840645,170.6983637657102
45.623;195.35637407318822,170.8203779000239,170.79502511360917
45.825;194.73581770709708,170.8075005934014,170.8082126750534
45.927;196.63793103448276,172.03666828557553,172.00607090820787
46.028;195.97736675590167,171.1394499878316,171.3616451691409
46.161;195.5284063553202,170.92128069330766,171.16345690900337
46.302;194.78364116094986,170.45478532022068,170.50059966418806
46.404;195.67602225985968,171.10041132349383,171.14928623276072
46.47;196.074777590767,171.38951671074778,171.57898533301275
46.54;196.0661216638615,171.36595335417167,171.52440490502525
46.675;194.77259953161592,170.44028103044496,171.0145199063232
46.777;194.95542911332385,170.74134660976767,170.7908961593172
46.882;194.7373545476134,170.6822607456661,170.67204939444312
46.981;194.57005171603197,169.99905970850963,170.08697696285847
47.118;195.1836932783305,170.62363504003883,170.7930114049988
47.225;194.4659172446783,169.9411624013394,170.13728773020807
47.327;195.0112899351429,170.49699735767476,171.18952678356953
47.429;195.87469879518073,170.96530120481927,171.16361445783133
47.529;194.8545323395047,170.49843712430874,170.81341668670353
47.683;195.30002413709872,170.54477431812697,170.2507844557084
47.785;194.8089401586157,170.52751742369622,170.67531843306898
47.857;195.78363283147158,171.1583292860612,171.1847984458475
47.926;195.18965517241378,170.69742593491986,171.23822243807675
48.026;195.04553160571567,170.20925163477838,170.6958101235166
48.128;195.3691243140062,170.53137675972323,170.89191123836792
48.224;195.39204819277109,170.4665060240964,170.67469879518072
48.299;195.59814679346502,170.67178736893442,170.8015118263838
48.4;196.46824259789875,171.5859598853868,171.9293218720153
48.501;195.12094117647058,170.63011764705882,170.84870588235293
48.602;195.04842501175364,170.3906911142454,170.38645980253878
48.706;195.02900259372788,170.5069559066258,170.669417590191
48.808;194.7301401869159,170.45841121495326,170.72827102803737
48.875;195.03205128205127,170.48646723646723,170.96320037986703
48.957;194.77897196261682,170.4890186915888,170.917523364486
49.131;195.76926725160067,170.95778989803176,171.35024899217453
49.234;195.6115722077306,170.87218401707375,171.14299264880248
49.335;194.29722091380123,170.25129533678756,170.3325482807348
49.436;195.21452067669173,170.46616541353384,170.77631578947367
49.537;195.1779039507925,170.56588597113793,170.91719895907264
49.605;195.15302743614,170.67431409649953,170.60264900662253
49.778;194.4249646059462,170.25837659273242,170.31052383199622
49.911;195.8761212121212,171.32460606060607,171.5471515151515
50.013;196.23121110579226,171.05672570607948,171.55983724269984
50.115;194.81582699619773,170.4175380228137,170.39187262357413
50.248;194.84395287328684,170.62130319788412,170.65159894205337
50.348;195.93352462936394,171.59134385461502,171.82448589191773
50.453;195.32326779026218,171.0552434456929,170.97167602996254
50.554;194.41629594942637,170.25403886677594,170.2751112151721
