time;interpolated Pixel leftCheek
10.755;222.83142453518047,196.13522298081065,199.41802090168915
10.785;223.11061702515494,196.37566344082458,199.51093377081057
10.815;223.38980951512943,196.61610390083848,199.60384663993196
10.845;223.48368475092076,196.7483402193279,199.70921376873684
10.875;223.47027105007973,196.81793203482943,199.8217912584111
10.905;223.45685734923873,196.88752385033095,199.93436874808538
10.935;223.55395734888566,197.02126730718192,200.09941985865174
10.965;223.9549700248744,197.3314277777438,200.40877342667127
10.995;224.35598270086317,197.6415882483057,200.7181269946908
11.025;224.7569953768519,197.9517487188676,201.02748056271037
11.055;224.5794849794066,197.71182140188552,200.89358787015613
11.085;224.3129710322022,197.38726519451203,200.6915034452059
11.115;224.04645708499783,197.06270898713854,200.4894190202557
11.145;223.96998978038008,197.0060743790765,200.46776799065972
11.175;224.05981328802565,197.183871170412,200.60399618199872
11.205;224.14963679567123,197.36166796174751,200.7402243733377
11.235;224.23946030331683,197.53946475308302,200.87645256467667
11.265;224.3237548489268,197.69393984864536,200.99304961379028
11.295;224.3582887362164,197.6385196822493,200.93296638287535
11.325;224.392822623506,197.58309951585318,200.87288315196042
11.355;224.4273565107956,197.52767934945712,200.81279992104552
11.385;224.4618903980852,197.472259183061,200.7527166901306
11.415;224.58490383209661,197.55724368324127,200.86778678475056
11.445;224.7755780959542,197.74959645786228,201.11679765772075
11.475;224.96625235981173,197.9419492324833,201.3658085306909
11.505;225.08224844451968,198.07983772988933,201.5519380267306
11.535;224.8248536334796,197.94540484122052,201.42366063811778
11.565;224.5674588224395,197.8109719525517,201.29538324950494
11.595;224.31006401139942,197.6765390638829,201.16710586089212
11.625;224.47112556966974,197.8561885884761,201.31350620451622
11.655;224.71587840180214,198.09865459572168,201.5148420945877
11.685;224.96063123393455,198.34112060296727,201.71617798465917
11.715;225.0062759377233,198.39961137094446,201.6825008536936
11.745;224.8243684948336,198.24784472261487,201.38023741297133
11.775;224.64246105194388,198.09607807428532,201.07797397224908
11.805;224.49449933217235,197.97801377214284,200.82582015031207
11.835;224.82177773605525,198.3317823166196,201.27520099136828
11.865;225.14905613993815,198.68555086109637,201.72458183242452
11.895;224.82582098205,198.2840532071129,201.40040158032681
11.925;224.17732904327633,197.5049224538993,200.68944078165217
11.955;223.8761387678447,197.1113760757373,200.37099532300695
11.985;224.38531904021121,197.6175265726957,200.9684189910971
12.015;224.89449931257775,198.12367706965412,201.5658426591873
12.045;225.40367958494426,198.6298275666125,202.16326632727746
12.075;224.94791316609397,198.25192926237096,201.6775948859536
12.105;224.34369341013343,197.7380234502525,201.0252934277968
12.135;223.73947365417288,197.22411763813406,200.37299196964003
12.165;223.66512362625647,197.1691050306581,200.2689409866747
12.195;224.1963390018191,197.63854179991642,200.79146197535675
12.225;224.7275543773817,198.10797856917475,201.31398296403881
12.255;225.2587697529443,198.57741533843307,201.83650395272085
12.285;225.7899851285069,199.0468521076914,202.3590249414029
12.315;225.49991265989402,198.83009667571235,202.0928593846038
12.345;225.1815199207923,198.58967944369064,201.79949774002947
12.375;224.8631271816906,198.34926221166893,201.5061360954551
12.405;224.92398169487282,198.3783833444328,201.57080228155414
12.435;225.174459834197,198.54227365958945,201.8144823829898
12.465;225.4249379735212,198.70616397474612,202.05816248442548
12.495;225.5338304140022,198.78879388177066,202.14820935714303
12.525;225.25336218266455,198.64795766643186,201.81576485088567
12.555;224.9728939513269,198.5071214510931,201.4833203446283
12.585;224.69242571998925,198.36628523575433,201.15087583837095
12.615;224.99228082278628,198.60890988149472,201.5407803269242
12.645;225.33358759230725,198.87892458874074,201.98228117224966
12.675;225.67489436182822,199.1489392959868,202.4237820175751
12.705;225.57647685728088,199.0455176945663,202.34267134358515
12.735;225.0933006129238,198.61533932306259,201.80427559019427
12.765;224.6101243685667,198.18516095155888,201.26587983680335
12.795;224.23677819874507,197.8425361497665,200.85351478393343
12.825;224.4125824016009,197.9376791965308,201.07130323366837
12.855;224.58838660445673,198.03282224329513,201.2890916834033
12.885;224.76419080731256,198.12796529005942,201.50688013313825
12.915;224.77308007504058,198.12104171457113,201.50094096504654
12.945;224.6853343803262,198.05502693672608,201.36547528137095
12.975;224.5975886856118,197.989012158881,201.23000959769536
13.005;224.50984299089743,197.92299738103594,201.0945439140198
13.035;224.4535506839897,197.8854130287293,200.99122191208045
13.065;224.68033886734202,198.10370250626826,201.17719304576718
13.095;224.90712705069436,198.3219919838072,201.36316417945392
13.125;225.13391523404667,198.54028146134618,201.54913531314065
13.155;225.02498234977105,198.4844955078936,201.4311938602674
13.185;224.7939690772671,198.3290457613532,201.20273873955415
13.215;224.5629558047631,198.17359601481277,200.97428361884093
