time;interpolated Pixel leftCheek
14.014;224.45530938313803,199.46138045263405,198.86408024784004
14.044;224.51750164601054,199.51557452870003,198.97840768821447
14.074;224.56045704333417,199.54871843881165,199.06878294942007
14.104;224.6034124406578,199.58186234892327,199.15915821062566
14.134;224.60180682516648,199.57488517772887,199.13338778442102
14.164;224.5110791840453,199.4876658439225,198.87532598339592
14.194;224.42550428678356,199.40858220287944,198.64528489540538
14.224;224.38630408425692,199.40271979670567,198.66743022472596
14.254;224.34710388173028,199.3968573905319,198.68957555404654
14.284;224.30790367920363,199.39099498435812,198.71172088336712
14.314;224.32045118600175,199.47007526992758,198.7763394000701
14.344;224.3487479956378,199.5750076790711,198.8538845390199
14.374;224.3770448052739,199.6799400882146,198.93142967796967
14.404;224.41391199821751,199.76760532166978,199.02835584586194
14.434;224.46363476612245,199.82936979159246,199.15435355716792
14.464;224.51335753402742,199.8911342615151,199.28035126847388
14.494;224.5630803019324,199.95289873143776,199.40634897977984
14.524;224.3700054053375,199.61865161406732,199.16011309625162
14.554;224.1283709758427,199.20520217923826,198.83943049375657
14.584;223.88673654634786,198.79175274440922,198.5187478912615
14.614;223.74971980640123,198.57753412759732,198.3293184714119
14.644;223.7696296007769,198.66216173781115,198.33676882553053
14.674;223.7895393951526,198.74678934802498,198.34421917964917
14.704;223.79013421321594,198.8312132811924,198.44443873986418
14.734;223.2305947182218,198.90973058001327,201.23496527687448
14.764;222.67105522322763,198.98824787883416,204.0254918138848
14.794;222.85330846230215,198.9094621246738,202.73961180652597
14.824;223.14968366046415,198.80647590082404,200.82659233080267
14.854;223.44605885862615,198.70348967697427,198.91357285507937
14.884;223.64496243465254,198.70712895706433,198.03373494610705
