time;Pixel leftCheek
43.201;219.98438197233378,195.59883980365908,195.25189647478805
43.303;220.27237880496054,195.80608793686585,195.30913190529876
43.408;220.6072629455279,196.49943958753641,195.98722259583053
43.545;220.50807174887893,196.32062780269058,195.76479820627802
43.677;220.6246077991932,196.342895562528,195.57014791573286
43.778;220.47892376681614,196.32668161434978,195.76793721973095
43.878;220.50404676258992,196.2140287769784,195.71987410071944
44.012;220.05938825630722,195.48626925653048,194.87854431792812
44.135;220.10491071428572,195.61294642857143,194.84910714285715
44.27;220.85370205173953,196.40075825156111,195.9406779661017
44.338;220.82569832402234,196.64469273743018,195.7798882681564
44.44;220.67901508429458,196.2639751552795,195.833850931677
44.54;220.22802745184856,196.25193712641135,195.68806730130618
44.688;220.61993355481727,196.29922480620155,195.88194905869324
44.823;219.6541703637977,195.1561668145519,194.8447204968944
44.957;219.82159417089866,195.01854714064916,194.66548907043497
45.058;219.7232162580075,194.8515573227303,194.2350342390104
45.159;220.0683817062445,195.40435356200527,195.28012313104662
45.261;219.83573806881242,195.68079911209767,195.168923418424
45.361;219.58530701754387,195.32390350877193,194.66666666666666
45.462;219.98025449758666,195.50460728389643,194.77182974989032
45.603;220.0184291355858,195.7670030715226,195.31373409390082
45.77;219.40702296819788,195.00662544169612,194.68264134275617
45.871;219.45886214442012,194.84442013129103,194.56083150984682
46.005;219.57527942143327,195.02564102564102,194.78895463510847
46.122;219.81956378056842,194.96805463758537,194.95042961004626
46.296;220.11262648482182,195.45512538495382,195.5686317641883
46.398;219.1909070845288,194.84617082321785,194.30324431692782
46.466;219.31741821396994,194.9790008841733,194.26702033598585
46.6;219.55700686296214,195.21939340270092,194.83418197918974
46.735;218.68426891502108,193.4018193920568,193.25893055247394
46.836;218.63286093888397,193.8547387068202,193.67161204605847
46.938;218.24369379249836,193.01864443957007,193.2864663303356
47.073;218.57571082212917,193.38042759532732,193.03019616486665
47.175;218.91941875825628,193.69418758256273,193.58388375165126
47.279;219.25116485467052,194.20590193033058,194.08741956955848
47.415;218.31715924128804,193.36634318482575,193.20820467578298
47.514;218.91162790697675,194.059357696567,193.44363233665558
47.681;219.47415878601277,194.25445348581482,194.02749065317792
47.802;219.1177117711771,194.13509350935092,194.13311331133113
47.93;219.36529982363317,194.63822751322752,194.57694003527337
48.064;219.36220994475138,194.42519337016574,194.38453038674032
48.166;219.83300460223538,194.85250931404778,194.94170501862808
48.266;219.7139066990935,195.24850762768074,195.1384037143489
48.37;219.03464152598116,194.0403420302565,193.64678798509098
48.503;219.3567483984979,194.3825933289154,194.01126573889994
48.638;218.45043859649124,193.68815789473683,193.37456140350878
48.772;218.7879991175822,193.59121994264285,193.58614604015
48.84;218.2685551163812,193.2760210803689,193.1133069828722
48.944;219.0531188009698,193.9819263830725,194.30306369847918
49.115;218.8608407079646,193.9,194.21305309734512
49.249;219.4120781527531,194.6531971580817,194.29329484902308
49.35;218.7463687150838,194.20245810055866,193.93988826815644
49.451;219.06467331118495,194.00177187153932,193.80044296788483
49.551;219.07750221434898,193.7732506643047,194.0792736935341
49.652;218.99268130405855,193.94876912840985,193.4779330228432
49.785;219.11777728580915,193.8707106486606,194.02058888642904
49.92;219.3354051054384,194.33673695893452,194.27147613762486
50.027;219.2184929984441,194.36830406757056,194.20404534340966
50.128;219.2043439716312,194.33333333333334,194.1511524822695
50.242;219.2045555064131,194.46351172047767,194.19195046439629
50.377;219.23933333333332,194.15044444444445,194.20777777777778
50.478;219.08757501667037,193.5905756834852,193.7041564792176
50.578;219.08876933423,193.86729432862586,193.84801613987895
50.712;219.5207445615609,194.53509755550573,194.4983180085221
50.822;219.20615110318698,194.49342545130378,194.43659460664142
50.958;219.2567687527741,194.3925876608966,194.43919218819352
51.092;218.3601243339254,193.56016873889877,193.22957371225579
51.206;218.9183129855716,194.2284128745838,193.95538290788014
51.307;218.46409455842996,193.5693577163247,193.03523639607494
51.438;218.42576660048533,193.45532759761747,193.6715199647033
51.573;218.16655607166555,193.00884760008847,193.1897810218978
51.68;218.50200088928412,193.67452200978212,193.33437083148067
51.814;218.49933244325769,193.44837561192702,193.43235425011125
51.949;218.9813125695217,194.53303670745274,194.27408231368187
52.052;217.8886182462356,193.19131975199292,192.26240035429583
52.188;217.56838638858397,193.30428100987925,192.7066959385291
52.288;218.6607578107689,194.23797917128297,193.69443828938623
52.388;218.5909090909091,194.10376940133037,193.80509977827052
52.523;217.966600309666,193.4536606945366,193.02300376023004
52.629;217.74490699734278,193.3303808680248,192.71988485385296
52.735;218.03376738026927,193.53365702935335,192.91900242772016
52.838;218.88716470849036,194.4739525604079,194.1744624251829
52.939;218.31535730137594,193.98934753661786,193.64491788726144
53.078;218.20973451327433,193.69557522123893,193.1929203539823
53.179;218.31638543516874,194.4245115452931,193.59258436944938
53.279;218.46114564831262,194.42628774422735,193.45848134991118
53.38;218.2501111605158,194.0066696309471,193.5840373499333
53.454;218.30989060058047,193.9939718687207,193.51417727171244
53.588;217.93529802791934,193.52271216485707,193.45778861068027
53.689;218.0123212321232,193.75907590759076,193.46182618261827
53.79;218.06208128628853,193.55337204108977,193.15877623939258
53.923;218.3609441104431,193.72567356936094,193.3295479848586
54.028;217.26040507456042,193.29356777208992,192.70754507010906
54.166;218.15175789942145,193.88228749443704,193.46172674677348
54.268;218.31713271193965,194.2323568575233,193.7132711939636
54.37;218.25207631874298,193.96879910213244,193.48507295173962
54.472;218.27974205025572,193.95352457193684,193.7756281965755
54.604;217.83281039892424,193.43209323173465,193.1149708650829
54.706;218.01711491442543,193.42142698377418,193.22249388753056
54.839;218.4889533586253,193.99933050658336,193.65967417987056
54.947;218.69192825112108,194.22152466367714,194.03923766816143
55.084;217.98928571428573,193.41339285714287,193.33995535714286
55.252;218.4537610619469,194.38008849557522,194.14977876106195
55.353;218.67801513128617,194.53716065865598,194.2053849577214
55.454;217.75510204081633,193.39596273291926,193.16082519964507
55.528;218.4575818303273,193.82810064573593,193.71231351592073
55.663;218.07355555555554,193.46466666666666,193.60177777777778
55.765;217.883078994614,193.0637342908438,192.87724416517057
55.9;218.54741763134462,193.92876224398933,193.96438112199465
56.033;218.28470066518847,193.67760532150777,193.55055432372507
56.134;217.98484510809004,193.3559170938266,193.70626253621575
56.267;217.50524436509707,193.13858513724614,192.65297924570407
