time;Pixel forehead
38.249;238.49936628643852,224.68039712716518,224.30840726658218
38.354;238.50127496812578,224.69337016574585,224.14109647258817
38.487;238.34398138354135,224.4051195261265,224.013750793315
38.654;238.26414291790726,224.41173968524032,224.4042960442365
38.761;238.2977421396919,224.3781388478582,224.08757121755644
38.862;238.24564385890352,224.55227369315767,223.9237144071398
39.003;238.38282571912015,224.60131133671743,224.43887478849408
39.143;238.54296044236494,224.4661846022969,224.13079540621013
39.279;238.47957671957673,224.824126984127,224.49798941798943
39.383;238.4145717937793,224.488922028121,224.2682147422241
39.523;238.48055207026349,224.66415725637808,224.44876620660813
39.633;238.4372744640204,224.48545956272554,224.29505412863512
39.768;238.38239629395662,224.4914718888187,224.39671509791535
39.901;238.2536935415787,224.55403123680878,224.28725200506543
40.03;238.3768601970237,224.59023265562774,224.31398029763153
40.168;238.239889900487,224.31251323311454,224.10395934787212
40.272;238.05749055812,224.1600923206043,223.95509861519093
40.406;237.98238539898134,223.80645161290323,223.66277589134125
40.513;238.04013519222644,224.11744824672581,224.0452049007182
40.62;238.16114554391964,224.30583458003846,224.14639880316307
40.761;237.88858408947036,224.11036083561933,223.86959274108463
40.896;238.0188479457857,223.91973739940704,223.66539601863616
40.996;238.153911205074,224.44735729386892,224.06723044397464
41.097;237.9696390658174,223.93312101910828,223.82738853503184
41.231;238.33361450864615,224.27266975959512,224.49367355546184
41.399;237.95750587230407,223.94170403587444,223.76190476190476
41.507;238.09039070749736,224.31531151003168,223.92946145723337
41.607;237.9888364104766,223.919922713611,223.65564620008587
41.715;238.27744680851063,224.50787234042554,224.50340425531914
41.884;238.21151385927504,224.37547974413647,224.24690831556504
41.998;237.91299723463092,224.4843650287173,224.1308232291002
42.131;238.19995736516734,224.4367938605841,224.10019185674696
42.265;238.25717321997874,224.5411264612115,224.48522848034006
42.411;238.27748245800552,224.66680842015734,224.28194769296195
42.545;238.2457337883959,224.50597269624572,224.54650170648463
42.647;238.0362738785147,224.46233097231166,224.14423696072117
42.749;238.14365232284308,224.5448512095911,224.3022907300364
42.85;238.08502891411436,224.54379952880703,224.15806382523024
42.959;238.0173150919196,224.34587430525866,224.27169730654126
43.099;237.94254096616302,224.33730580974677,224.05490529899978
43.201;237.86048006858124,224.12987569652807,223.87783969138448
43.303;238.03186066270177,224.34175870858112,224.20114698385726
43.408;237.95343397831172,224.28109717201787,224.04486497980014
43.545;237.98125404007757,224.2755871579401,224.063779357897
43.677;238.16787852865698,224.76817792985457,224.66723695466212
43.778;238.09648933878958,224.69868619427095,224.59035106612103
43.878;238.10036224163647,224.35435755380354,224.239931813339
44.012;237.98571733105948,224.28245576636112,224.29013003623962
44.135;238.01291433491176,224.15497201894104,223.71717606543262
44.27;238.09908178518043,224.4516335682255,224.2788810591501
44.338;237.88217587615566,224.092238228338,224.04536658783059
44.44;237.94872899612236,224.17557087462302,223.9398965962947
44.54;237.96893744644387,224.42523564695801,224.05934018851755
44.688;237.87704213241616,224.1061908856406,223.865864144454
44.823;237.8690170940171,224.24679487179486,224.12820512820514
44.957;238.08176771989753,224.09073441502989,224.5629803586678
45.058;238.02171598892912,223.9814775388546,224.02107728337236
45.159;237.9926331298674,224.19469585350453,224.289833719217
45.261;237.91152527849187,223.68380462724934,224.08226221079693
45.361;237.97165991902833,224.1154911570424,224.14489665459195
45.462;237.93351919365216,224.20137250696976,224.05061119450997
45.603;237.9329333619027,224.26912363402613,224.07263766873794
45.77;237.67189819724285,223.93276776246023,223.82439024390243
45.871;238.0707718623049,224.14132991233697,224.53132349796877
46.005;237.73134962805526,223.9441020191286,224.15642933049946
46.122;237.92090155220072,223.89942589836275,224.31107803529662
46.296;237.95762175838078,224.23065570314148,224.60636727809404
46.398;237.86027689030885,223.98104366347178,223.91480298189563
46.466;237.81073741382912,224.07019009818256,223.9532066012116
46.6;237.68227496258285,223.87791319221722,223.64913406029507
46.735;237.75089192025183,224.1645330535152,224.03630640083946
46.836;237.72771646859084,223.8595076400679,223.91617147707979
46.938;237.43535841917173,223.81059491276014,223.87260878705067
47.073;237.65175922000847,223.6074607884697,223.67189487070792
47.175;237.81074815595363,224.03835616438357,224.48177028451002
47.279;237.65735011734586,223.5500320034137,223.67847237038617
47.415;237.64042328042328,223.7794708994709,223.67301587301588
47.514;237.8101802757158,223.7915164369035,223.96648992576883
47.681;237.91111582520153,223.9932117098006,223.73016546457362
47.802;237.8053949903661,223.94754870477414,224.29522586169986
47.93;237.65072278911563,223.7935799319728,224.02423469387756
48.064;237.7509694097372,223.82399827660493,223.78586816027575
48.166;237.64797969113602,223.9117833721176,224.19462661307384
48.266;237.44988295381995,223.4360502234518,223.52649499893593
48.37;237.74941650753235,224.07150434967113,223.82962019944833
48.503;237.76741716227698,224.11682242990653,224.02039082412915
48.638;237.66194503171246,223.9553911205074,223.89556025369978
48.772;237.39931885908896,223.3684546615581,223.31438910174543
48.84;237.53896377422072,223.7756950294861,223.75758213984835
48.944;237.4284501061571,223.55774946921443,223.8923566878981
49.115;237.74125288078775,224.07940498638172,223.91493819400796
49.249;237.16859716859716,223.5203775203775,223.44766194766194
49.35;237.34333759046402,223.52277564921243,223.53235419327373
49.451;237.33023356401384,223.7389705882353,223.46604671280278
49.551;237.3279695109041,223.51492695320772,223.32500529324582
49.652;237.12146529562983,223.294558697515,223.17823479005997
49.785;237.17572502685286,222.9484425349087,222.92073039742212
49.92;237.28734150010746,223.40232108317215,223.58284977433914
50.027;237.1422432316287,223.22432316287066,223.05414697034809
50.128;237.23941543090478,223.6361487212551,223.59080163335483
50.242;237.36555697823303,223.66709346991038,223.7516005121639
50.377;237.26773356401384,223.28784602076124,223.29541522491348
50.478;237.3006029285099,223.75172265288543,223.8875968992248
50.578;237.16587370242215,223.40030276816609,223.5142733564014
50.712;237.2626678215678,223.34863577306194,223.4605889995669
50.822;237.2944587628866,223.69115120274915,223.60330756013747
50.958;237.17860243055554,223.64995659722223,223.52973090277777
51.092;237.67048153746492,223.88404232347224,223.7568559706327
51.206;237.44415807560136,223.63939003436425,223.50644329896906
51.307;237.981031543052,224.0699062233589,224.2043904518329
51.438;237.4041966935142,224.0002119542179,223.82344213649853
51.573;237.3465032748785,223.89372491020495,223.8379463342489
51.68;237.49616858237547,223.54320987654322,223.664325244785
51.814;237.6252644942869,224.2475666525603,224.27295810410496
51.949;237.26153846153846,223.44786324786324,223.5363247863248
52.052;237.50799663299662,223.84069865319864,223.74095117845118
52.188;237.80723656369022,224.38531527719002,224.61426153195092
52.288;237.72572402044293,224.2054940374787,224.0074531516184
52.388;237.8142401700319,224.0971307120085,224.4335812964931
52.523;237.63309963883577,224.05438708306778,224.27427236031443
52.629;237.48628113127901,223.83917264668636,223.94385816800337
52.735;237.40088851279882,224.13370002115508,224.0973133065369
52.838;237.62169086251066,223.9041417591802,224.20815542271563
52.939;237.2768253968254,223.885291005291,223.77989417989417
53.078;237.26241284597506,223.65793365729982,223.60553560109867
53.179;237.51222081753056,223.9079224610198,223.9298356510746
53.279;237.1921618204804,223.78929624947324,223.5615254951538
53.38;237.29014560033764,223.42540620384048,223.41443342477316
53.454;237.6010101010101,223.72748316498317,224.003367003367
53.588;237.16282998944033,223.51277719112989,223.58732840549104
53.689;237.18812919463087,223.66988255033556,223.7023909395973
53.79;237.20861629881153,223.52610356536502,224.0379881154499
53.923;237.4109183241642,223.4769360981803,223.79242488362252
54.028;237.31257995735606,223.76417910447762,223.80938166311302
54.166;237.36126315789474,223.6938947368421,223.6698947368421
54.268;237.25626740947075,223.49753589029356,223.56288836511678
54.37;237.18078381795195,223.64517488411295,223.46312684365782
54.472;237.09701492537314,223.34648187633263,223.59253731343284
54.604;237.17985611510792,223.58506136267457,223.7310622090563
54.706;236.98600947051227,223.09190701678864,223.31166594920361
54.839;237.17287066246058,223.12008412197687,223.59642481598317
54.947;236.89849462365592,222.68387096774194,222.7698924731183
55.084;236.99706560469502,223.30161391741774,223.72982603227834
55.252;237.05884870532847,223.38840145516798,223.29188957842928
55.353;237.24888416578108,223.7921360255048,223.75430393198724
55.454;237.11606951298003,223.20338983050848,223.13022956447114
55.528;237.3029535864979,223.2879746835443,223.85021097046413
55.663;236.74089243371415,222.67428325070057,222.9769346841992
55.765;236.98553459119498,223.27106918238994,223.76897274633123
55.9;236.90318388564003,222.91423001949317,223.12085769980507
56.033;237.0486725663717,223.23345975558365,223.96839443742098
56.134;236.8329009943796,222.7539991353221,223.0974924340683
56.267;237.13484562066793,223.41041797941608,223.3696702373451
56.374;236.83900862068967,223.17219827586206,223.24827586206897
