time;interpolated Pixel forehead
11.582;245.40767772596078,235.51050804099,237.11639452356462
11.612;245.31668864453164,235.42744153259875,236.9679566883998
11.642;245.23014648267647,235.35026428864947,236.8292767800715
11.672;245.2725649884664,235.44387571351706,236.97357675000262
11.702;245.31498349425635,235.53748713838468,237.11787671993375
11.732;245.3574020000463,235.6310985632523,237.26217668986487
11.762;245.23963531066565,235.44596547350136,237.06657521174765
11.792;245.0417760236997,235.12146012644112,236.7010230096063
11.822;244.87303955647735,234.83707311832117,236.38428846218855
11.852;245.1120225656655,235.1143428553653,236.75100108090163
11.882;245.35100557485364,235.39161259240942,237.1177136996147
11.912;245.5899885840418,235.6688823294535,237.4844263183278
11.942;245.82897159322997,235.94615206649763,237.8511389370409
11.972;245.9142426403261,236.06524867523183,237.97757080123696
12.002;245.89703904602754,236.0788965317594,237.94381549575505
12.032;245.879835451729,236.09254438828697,237.9100601902731
12.062;245.85801635002397,236.0989993513896,237.86962732089304
12.092;245.7023475335309,235.89686040516875,237.63554509846662
12.122;245.54667871703785,235.69472145894792,237.40146287604023
12.152;245.3910099005448,235.49258251272707,237.16738065361383
12.182;245.2771108762755,235.29738457568817,236.97896111062698
12.212;245.19976042020198,235.1082600216835,236.8304964121497
12.242;245.12240996412848,234.91913546767879,236.68203171367242
12.272;245.07764194429245,234.81264122578625,236.60442653849373
12.302;245.1399305006653,234.97764658083366,236.7596455112961
12.332;245.20221905703812,235.14265193588108,236.91486448409847
12.362;245.26450761341096,235.30765729092846,237.07008345690085
12.392;245.3267961697838,235.47266264597587,237.22530242970322
12.422;245.37812921886794,235.4961312497713,237.28107940956912
12.452;245.4261279831251,235.47652345101181,237.30659143506307
12.482;245.47412674738226,235.4569156522523,237.33210346055702
12.512;245.5092998772532,235.47207794307823,237.34046282443623
12.542;245.52231963863892,235.54729766136995,237.3191948637082
12.572;245.54933269780744,235.6600068848639,237.35784080076263
12.602;245.66730219256436,236.01639789217245,237.78592707340323
12.632;245.78527168732126,236.37278889948098,238.21401334604386
12.662;245.95412154859548,236.65290327097944,238.45386417344736
12.692;246.14147336133055,236.90528068400147,238.62526574803738
12.722;246.13275084314782,236.90139494254313,238.5691477133119
12.752;245.95246328541202,236.67327894091449,238.31395002043536
12.782;245.73915278299623,236.3616886129454,237.98878787385016
12.812;245.3111931401604,235.50751516376332,237.20885677815878
12.842;244.8832334973246,234.65334171458127,236.4289256824674
12.872;244.90876730688586,234.6962682158339,236.4099476915171
12.902;244.96669350590406,234.80327328497472,236.4453234937626
12.932;245.02461970492226,234.91027835411555,236.48069929600808
12.962;245.12461104849984,235.04386797600037,236.6238932821396
12.992;245.26140939356688,235.20071908153622,236.86142817917138
