time;Pixel leftCheek
30.496;215.50321910695743,193.81806853582555,199.88286604361372
30.596;215.84175914508836,194.17242087957254,200.42560624743115
30.696;216.1281094527363,193.97180762852403,200.34825870646767
30.896;216.093898655636,194.2699069286453,200.6134436401241
31.029;215.3357543058726,193.69599501971362,200.1373728989417
31.131;215.69308357348703,193.97900370522848,200.1539728283244
31.232;216.2004158004158,194.57609147609148,200.8941787941788
31.367;215.14828506880264,193.8597247894845,200.10084206202507
31.439;215.59420591913297,193.55127136306794,200.0260525218841
31.54;215.19302564102563,193.24061538461538,199.6646153846154
31.614;214.90755610459132,192.9267037265802,199.67037265801935
31.715;215.0041313778145,192.84734558975418,199.7725676513117
31.85;215.40405095009396,193.44247233242848,200.213823345166
31.964;214.81485312370708,192.88167149358708,199.4673148531237
32.098;215.10215499378367,193.16224616659758,199.9341069208454
32.199;215.8964234029357,193.73495968575563,200.29791192888155
32.3;215.83274391512379,194.10339088828792,200.43873517786562
32.402;214.92186854071932,193.013848697809,199.74700289375775
32.51;215.1850846041362,193.06559431794443,199.71088364320033
32.645;215.27210743801652,193.0301652892562,200.0710743801653
32.778;214.96177814707104,192.6852928957208,199.6418778562526
32.88;214.72855366763366,192.22461665975965,199.0594695399917
32.98;215.80579466722654,193.15116523199663,200.16355238295193
33.081;214.96592317224287,192.89405204460965,199.54233787691038
33.181;215.5554386703135,193.7694087944456,200.47443719755944
33.282;215.71422663358146,193.70140612076096,200.46153846153845
33.382;215.29625757892535,192.99226426928706,200.2701233535438
33.453;215.01806610552248,192.31923629644837,199.70950523506468
33.553;215.97048281678263,193.15686274509804,200.8359687961206
33.688;214.8830072090628,192.09886714727085,199.44963954685892
33.789;215.40666946308724,192.8863255033557,199.72105704697987
33.89;214.35036344755972,191.68431983385256,198.8608515057113
33.994;215.816142557652,193.35639412997904,200.26519916142558
34.095;214.93171534348005,192.94816947758125,199.5487453722748
34.199;216.2337580948402,193.5230833507416,200.7624817213286
34.272;214.8343292808572,192.16937976509377,199.22666391922522
34.443;216.60584720443876,193.6052069995732,201.09731113956465
34.545;215.89856297548604,192.92857142857142,200.28486897717667
34.646;216.10727888277614,193.4240372407956,200.4081675835802
34.717;215.58991596638654,192.75714285714287,200.1590336134454
34.851;216.74207188160676,193.80190274841436,201.0293868921776
34.918;214.8314957353859,192.15415019762847,198.77615976700645
35.049;215.53797199830294,193.0430632159525,199.90729741196435
35.155;216.0141231028668,193.38090219224284,200.21163575042158
35.256;215.2936575052854,192.41479915433405,199.5401691331924
35.36;214.16208848815265,191.43782763682114,198.39735793667435
35.461;214.13876001687052,191.53943483762126,198.57950231969633
35.562;213.9767344372249,191.07629427792915,198.06665269335568
35.731;213.6882105263158,191.20042105263158,198.38905263157895
35.834;214.39424490653224,191.94959042218022,198.62360848561227
35.934;214.5982349233032,191.95608321075855,199.03593191847025
36.069;214.8116978750263,192.0042078687145,199.3681885125184
36.17;215.20219501899535,192.27078936260025,199.39700295483325
36.242;216.08060080389254,193.04696424793738,200.4658345673789
36.342;214.65216490573854,192.3691733996271,199.1205717837166
36.456;214.57783806343906,192.2491652754591,198.76878130217028
36.556;213.41181381757463,191.29931120851597,198.0538509705698
36.692;214.26681989134977,192.06163811115755,198.93543669034685
36.792;215.90565639510342,193.41705360911777,200.2327986492191
36.893;214.85681629260182,192.77202826267663,199.24667497921862
36.995;215.292817679558,193.4696132596685,199.95346366340843
37.117;214.69931662870158,192.67384551667013,199.25388279146821
37.253;215.60764035457998,192.86661038412834,199.93056141831997
37.354;215.57995472319408,193.22617822597243,200.0111133978185
