time;Pixel rightCheek
37.894;190.58762322015335,170.49215041986128,172.61683096020445
37.994;184.5556926330631,165.0232640112795,166.84226295382447
38.096;191.34696112429276,171.35918963314472,173.74612155502828
38.198;186.85527478353066,167.1233433468811,169.16911115037993
38.299;189.82792743265531,169.84057174271578,171.81455011911308
38.368;186.3049504950495,166.8190819081908,168.61656165616563
38.533;191.51659028414298,171.38955087076076,173.5948670944088
38.634;184.3027084439724,165.05877146397592,166.3816604708798
38.701;190.62275558812752,170.56284353242947,172.60901429094906
38.769;184.89363957597172,165.32031802120142,167.09452296819788
38.87;189.78740875912408,169.82408759124087,171.925
39.036;184.44594115561858,165.24920241049273,166.99893654732364
39.149;184.3452676355902,165.01612903225808,166.71853952499114
39.283;191.53717642739122,171.52267303102624,173.41894620892234
39.383;186.97167138810198,167.2112252124646,168.89004957507083
39.484;191.86915887850466,171.82114715044895,173.97086311159978
39.585;184.62171168011224,165.42756927393896,167.18256752016836
39.686;189.87886597938143,170.27835051546393,172.4878497790869
39.82;185.0629976995222,165.70005308794904,167.32295168996637
39.957;192.4490434142752,172.22829286239883,174.48822663723325
40.057;182.78029626985543,163.12100660360522,165.14278065322148
40.158;189.17671860678277,170.15527039413382,171.7961503208066
40.259;191.74378966455123,171.57624660018132,173.54886672710788
40.326;190.10389140271494,170.1437104072398,172.23239819004525
40.401;191.68062442607896,171.64481175390267,173.86170798898073
40.502;190.5252525252525,170.6279155188246,172.43838383838383
40.639;185.57473341767576,166.40954274353876,168.07916139526478
40.741;192.76460705618817,172.36270300541347,174.66231099495985
40.806;189.13785046728972,169.44158878504672,171.53666427030913
40.94;187.09272237196765,167.49451931716084,169.24043126684637
41.042;189.62904398400582,169.65485278080698,171.69265721555797
41.165;186.88050426136363,167.533203125,169.453125
41.272;191.93357731015553,172.11161939615735,174.07429094236048
41.406;183.93751100158423,164.83700052807603,166.3217743355043
41.508;189.62880175888603,170.26383290582632,171.88933675338953
41.615;187.6008560727662,167.93365436062066,169.79329409666488
41.718;192.37825927286082,172.15552699228792,174.4834741094381
41.788;187.6138757718852,168.0203414456956,169.67108608790411
41.889;187.75281511078822,168.2114057391936,169.87722484562295
41.993;189.43523878437048,169.56837916063677,171.48896526772793
42.093;188.83135135135134,169.02522522522523,170.9237837837838
42.228;192.46060606060607,172.06280991735537,174.34416896235078
42.3;191.7721876766535,171.67024684379123,173.68984360278876
42.401;187.7454934856327,168.12404069248618,169.71800820988756
42.503;188,168.35486185862936,170.12952996053104
42.604;187.90285509068056,168.3562578559885,170.1181540671575
42.739;187.71137918617214,168.43590205257473,170.16186532229025
42.841;188.41723153763826,168.5859793078844,170.5128433820906
42.913;187.6461951656222,168.35201432408238,170.127842435094
42.986;191.1697057230547,171.16735872901245,172.96948907745082
43.059;188.12163108155409,168.50630031501575,170.49264963248163
43.228;193.4608253044901,173.14633702963098,175.28285766224323
43.361;189.47655703289013,169.58764870538837,171.61179146256123
43.429;188.06164629762762,168.65043134435658,170.41876347951114
43.529;189.22005021520803,169.4707675753228,171.09720229555236
43.631;189.1828732196237,169.8565148584491,171.68542289432037
43.703;189.94314321473271,169.88592883962096,171.92150902914358
43.804;188.5853529099593,168.92729524146472,171.10578453918274
43.871;187.23687012065295,167.73757984386089,169.50798438608942
43.971;189.7919826652221,169.7425063199711,171.9191043698086
44.106;188.2458872943647,168.5406020301015,170.58470423521177
44.238;190.77187948350073,171.01883070301292,173.19709469153514
44.339;188.91093832832655,169.2509277257466,171.14984979678388
44.446;189.87802706552708,170.01923076923077,172.06695156695156
44.547;189.9250943057302,169.99155739177294,172.26800790371834
44.622;189.6987087517934,169.95498565279772,172.26470588235293
44.756;188.43502222222222,168.1857777777778,170.55377777777778
44.858;189.06947179946286,169.08898836168308,171.49615040286483
44.929;187.6321570039611,167.9558876485416,170.04249189773137
45.027;190.44289044289044,170.1787699480007,172.69194907656447
45.143;189.20227717487992,168.90517701476605,171.37769080234833
45.31;189.92392482833392,170.09884351282977,172.1797976147452
45.411;189.12038033728024,169.18209544312882,171.41514172945818
45.479;188.72567324955116,168.71202872531418,171.17612208258527
45.58;188.18501886114603,168.42823783007006,170.701814262619
45.69;189.28857500446986,169.18040407652424,171.56034328625066
45.792;187.00537538075613,167.60723884608493,169.59827987815802
45.859;190.0270319634703,169.9923287671233,172.40584474885844
45.995;188.25917965251656,168.2745835572273,170.27118036897724
46.096;190.49443447037703,170.2608617594255,172.57719928186714
46.197;187.7672798714056,167.6597606715485,169.7942489730309
46.298;186.78889087337024,167.1943204143597,169.14145383104125
46.365;191.12923416789397,171.06388070692194,173.59959499263624
46.465;189.30562955070147,169.47646954359794,171.72598117563487
46.571;187.21207264957266,167.72756410256412,170.16274928774928
46.74;187.70748663101605,167.79001782531193,170.08395721925135
46.811;189.65913168281307,169.53229278794402,171.69537136706137
46.879;189.8680767162574,169.65280516221546,172.24341279799248
46.98;190.96227446692183,170.71441589210863,173.2270821942774
47.047;190.98778932021142,170.5489338436304,173.23327865864772
47.114;190.37178072111848,170.03237674760854,172.68653421633553
47.249;187.5460144927536,167.77663043478262,169.8192028985507
47.316;190.68583579881656,170.37851331360946,172.94082840236686
47.417;188.09430540442509,168.0614798694233,170.47116430903156
47.516;188.90326725403818,169.05176211453744,171.56442731277534
47.686;187.69589687726943,167.8571169208424,169.99782135076254
47.786;190.42435968306614,170.41182974018795,172.7630366685093
47.854;189.5074599708879,169.55986171761282,171.77856622998544
47.954;189.87093829864915,169.94505293902884,172.20792259948885
48.034;187.73459028281363,167.95503988397388,170.24365482233503
48.182;187.84837092731829,168.0046544933763,170.26279985678482
48.284;188.16988900823486,168.2158968850698,170.3673469387755
48.353;188.92608539648367,169.12360961607465,171.38105489773952
48.459;186.30100867103167,166.5108830295523,168.62749955760043
48.561;188.19396785262776,168.2745168864006,170.49575582445368
48.665;188.76568573014993,168.75161947066445,170.957060892097
48.767;191.10058063307736,170.63438846225884,172.99868889305114
48.9;189.28915437745007,169.0638417024454,171.38062348329288
49;190.31376594148537,170.03244561140286,172.3103900975244
49.102;188.87044234684436,168.682398667407,171.03498056635203
49.202;191.07524042994532,170.52970016971526,173.04110880633604
49.303;189.19561961812056,168.99887682515913,171.0524148259079
49.403;190.93064876957496,170.53150633855333,173.14578672632365
49.504;186.63588629368098,166.8062647112077,168.9550968676444
49.571;189.75133247564787,169.74618636280096,172.01268149237274
49.676;187.48836793128132,167.65640658554045,170.063350035791
49.78;188.86954158362022,168.90940387751405,171.09566950534517
49.948;187.98403301040545,168.1114101184069,170.01973448152134
50.048;188.76953546993158,168.9987396471012,170.89701116312568
50.149;187.1283518055059,167.27958526993206,169.56435466571327
50.254;188.8063698878031,168.9011943539631,171.04614549402822
50.36;187.34541882479013,167.75120557242366,169.7310233970352
50.528;188.42103367549072,168.54222942553574,170.80983252296056
50.63;188.509460906819,168.8877186719029,170.76758300606926
50.733;186.9125266146203,167.35361958836054,169.4279630943932
50.834;189.30239303843365,169.4186004350979,171.72534445250182
50.94;187.34700763629905,168.0623335109217,170.1305274374001
51.071;188.92593930635837,169.2503612716763,171.18948699421966
51.173;185.9284824764277,166.74559686888455,168.7891834193204
51.273;190.00291757840992,169.99945295404814,172.49781181619255
51.339;187.49955333214223,167.71484723959264,169.67625513668037
51.473;190.17835200578244,170.05149981929887,172.38941091434768
51.61;186.568791052725,167.32522634475413,169.32540387005147
51.713;188.3430735930736,168.91414141414143,171.00162337662337
51.814;185.98994354269584,166.62297106563162,168.46400846859564
51.914;191.35218272241664,171.31000184195983,173.41941425676922
52.02;186.72295981589662,167.4875199150292,169.2658877677465
52.12;189.37713157422365,169.63525399389695,171.82696104828577
52.226;189.24896786932328,169.46006103033568,171.69969484832166
52.363;188.47957909755664,168.82129481005884,170.93401105760657
52.465;189.074682865821,169.45917455779883,171.50151867071645
52.566;188.76961394769614,169.34602383917453,171.30581747020102
52.667;189.47711362412494,169.87991383952613,171.94435469395083
