time;Pixel forehead
33.994;245.8184628975265,235.79394876325088,238.4617932862191
34.095;246.28993950257674,236.8536858615281,239.41093434909254
34.199;245.77031181379007,235.97848045674132,238.56104523495827
34.272;246.23200356585693,236.595275239581,239.13171383998218
34.443;244.81940700808624,234.55727762803235,237.10040431266847
34.545;245.56668954472661,235.62251201098147,238.18348204072294
34.646;244.7907237284338,233.93121218911045,236.51265964597803
34.717;245.7222859765894,235.62428276336928,238.32683038788156
34.851;245.3916178458765,235.2607030193781,237.75732311852187
34.918;245.87032764190124,235.90978311029073,238.4584679280111
35.049;244.60771486577937,234.23889014211593,236.58831491089555
35.155;246.0298611111111,236.10972222222222,238.74583333333334
35.256;245.73274094326726,235.4073820915926,238.25427204374571
35.36;246.10869077026723,236.34201661801032,239.01504603637997
35.461;246.25872224739464,236.49116447666515,239.2967829632986
35.562;246.24881995954146,236.39694313328837,239.2434254888739
35.731;246.2348296864426,236.2706970448906,238.95443266411007
35.834;245.9149507609669,236.2123992837959,238.82855863921216
35.934;245.96997270245677,236.30686988171064,238.78958143767062
36.069;246.03985588831344,236.3334834496735,238.82031074082414
36.17;245.76211251435132,235.98966704936853,238.55706084959817
36.242;245.708075955159,235.69732326698696,238.23175474719744
36.342;245.86277113767153,236.2523240371846,238.78773793714032
36.456;245.65605658709106,235.6920866489832,238.3370910698497
36.556;246.16895482728077,236.40434012400354,239.17936226749336
36.692;245.8482972136223,236.0329500221141,238.7859354268023
36.792;245.52429781542577,235.72960320998664,238.25746767721802
36.893;245.821587867975,236.31333630686888,238.82471008028546
36.995;245.62010183750277,236.02501660394066,238.478857648882
37.117;245.69966555183947,235.93467112597548,238.63745819397994
37.253;245.4508670520231,235.68408181413963,238.26033792796798
37.354;245.51076233183858,235.5883408071749,238.29372197309416
37.455;245.520805666224,235.36741921204072,238.06750774679062
37.557;246.35029266096353,236.80481764970733,239.5920756416029
37.657;245.41333333333333,235.27466666666666,238.05666666666667
37.759;245.39911111111113,235.2888888888889,237.82733333333334
37.894;245.9935267857143,236.60267857142858,239.16852678571428
37.994;245.05474613686533,234.95629139072847,237.41479028697572
38.096;246.04972004479282,236.73348264277715,239.34020156774915
38.198;246.05080572963294,236.4854521038496,239.1927036705461
38.299;245.60625140544187,235.70519451315494,238.60242860355297
38.368;245.00779683671198,234.92225439964358,237.6230786366674
38.533;246.1148164726947,236.49955237242614,239.23500447627575
38.634;245.56693778852494,235.721257419213,238.5168168828314
38.701;245.73751115075825,235.84054415700268,238.6465209634255
38.769;245.40688437775816,235.54346866725507,238.10061782877318
38.87;245.69642857142858,235.82611607142857,238.50200892857143
39.036;245.21926910299004,235.21040974529348,237.8950166112957
39.149;245.22369878183832,235.19003322259135,238.03455149501661
39.283;245.94790029193803,236.21536043116998,239.06108241634854
39.383;245.3743066341247,235.32371865986244,238.16374528511204
39.484;245.88424794490112,236.05309931126416,238.9013552543879
